Start,End,Label,Start Sample,End Sample,len,mean,std,rms,mav,iEMG,wl,zcr,spec_entropy,median_freq,skew,kurtosis,file
2.528848,2.540255,Fibrillation,27880.55450581396,28006.31904069768,126,-0.00482511,0.002276673,0.0053352537,0.00482511,0.60796386,0.07070032,0,2.3809993,350.0,-0.5929942839157853,-0.1673715648228055,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
2.3739,2.385624,Fibrillation,26172.252906976744,26301.51090116279,129,-0.020351084,0.0048567257,0.02092258,0.020351084,2.62529,0.067715965,0,1.2263654,341.86046511627904,0.6480919221950061,-0.2602841116747649,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
2.397031,2.413192,PSW,26427.27543604651,26605.441860465115,178,-0.014933506,0.00209231,0.015079369,0.014933506,2.658164,0.0881418,0,2.5874228,495.50561797752806,-0.1589670775289338,-0.7496693907512659,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
2.456602,2.466108,PSW,27084.04578488372,27188.84956395349,104,-0.015739078,0.0012424452,0.015788041,0.015739078,1.6368641,0.058758225,0,2.7682767,1484.1346153846152,-0.1180943537712219,-0.8909418403824563,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
2.638167,2.647673,PSW,29085.79796511628,29190.60174418605,105,-0.008038706,0.0015609646,0.008188858,0.008038706,0.8440641,0.06745555,0,2.4641557,1049.9999999999998,-0.3060482990373895,-0.7273168209684426,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
0.455513,0.470709,PSW,5022.041424418605,5189.572674418605,167,-0.006774274,0.0019599972,0.007052118,0.006774274,1.1313038,0.08532649,0,2.294087,132.03592814371257,-0.1196971984797172,-0.7265544783002875,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
0.599897,0.609988,PSW,6613.873546511628,6725.122093023256,112,-0.015798379,0.0017979916,0.015900362,0.015798379,1.7694185,0.06996541,0,2.432148,590.625,-0.2013006790251734,-0.6063107362197635,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
2.686202,2.693834,Fibrillation,29615.38372093024,29699.522529069767,84,-0.0075437166,0.0010408886,0.0076151895,0.0075437166,0.6336722,0.043452792,0,2.3340132,2100.0,-0.1539358315044386,-0.1578970649574942,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
2.995188,3.004619,Fibrillation,33021.95348837209,33125.93023255814,104,-0.007301491,0.0021250367,0.0076044425,0.007301491,0.75935507,0.05345676,0,2.2600465,636.0576923076923,0.286783776808626,-0.4481814791638694,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
2.840131,2.849008,Fibrillation,31312.45348837209,31410.31395348837,98,-0.0029733807,0.0010611486,0.0031570604,0.0029733807,0.2913913,0.048592128,0,2.346746,675.0,-0.0245899616751622,-0.6189948868292703,.\Spontanaktivität\filtered_BA0803901_segment_1.wav
